scenario_index,param_y,param_eta,value
n_1000_rep_13_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.56013834]
n_1000_rep_13_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=19)","[-0.43082964  0.4452208   0.47428033  0.7147954   0.87828773  0.90016365
  0.8381138   0.26494828  0.15579961 -0.35442406 -0.272065   -0.8105861
 -0.9662472  -1.0359747  -0.83098775 -0.3112841  -0.45177448 -0.50348043]"
n_1000_rep_13_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=19)","[ 0.03137054 -0.095067   -0.00423771 -0.50398666 -0.2511353  -0.43122548
 -0.38430473 -0.42238393 -0.62960374 -0.24419045  0.32042512  0.25477692
  0.18354924  0.5219548   0.45699984  0.9828434   1.1933961   0.88795704]"
n_1000_rep_13_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.443613]
