scenario_index,param_y,param_eta,value
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[0.12745893]
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[-0.11163006]
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-0.2660674]
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[ 0.1651463   0.03071375  0.35808563  0.07460254 -0.15424281 -0.38041604
 -0.47083598 -0.08090626 -0.22054388 -0.16226211 -0.22640066  0.38518825
  0.6512139   0.3819489 ]"
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.01644784  0.7521862   0.5838138   0.58288074 -0.3907318  -0.5745189
 -0.4079323  -0.50183326 -0.05242277 -0.14899765 -0.00585815  0.1529176
  0.37172338  0.59479713]"
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[2.4330552]
