scenario_index,param_y,param_eta,value
n_1000_rep_42_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.57841337]
n_1000_rep_42_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=9)","[ 0.1133251   0.29187503  0.65783274  0.95465726  0.44062787 -0.5689592
 -0.89066374 -0.91577566 -0.08676972]"
n_1000_rep_42_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=9)","[-0.8030167  -0.6172507  -0.52194095 -0.5573133  -0.218421    0.20696902
  0.38277113  0.49106148  0.8403207 ]"
n_1000_rep_42_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.47258788]
