scenario_index,param_y,param_eta,value
n_1000_rep_45_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.35983017]
n_1000_rep_45_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[0.04915516]
n_1000_rep_45_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[-0.49830672]
n_1000_rep_45_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=13)","[ 0.25939885  0.31017393  0.37009153  0.66028345  0.9798023   0.83341634
 -0.24612728 -0.48504144 -0.7517147  -0.9606179  -0.9856063  -0.34746394
 -0.44898552]"
n_1000_rep_45_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=13)","[-0.65555155 -0.13239875 -0.43543217 -0.52402174 -0.30817994  0.05287554
 -0.4404304   0.06994959  0.12137645  0.06751141  0.56673735  1.0859683
  0.5699614 ]"
n_1000_rep_45_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.61469126]
