scenario_index,param_y,param_eta,value
n_1000_rep_70_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[0.21176551]
n_1000_rep_70_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[0.1932966]
n_1000_rep_70_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[0.2624423]
n_1000_rep_70_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=20)","[ 0.12871574  0.03679378  0.2784226   0.08818658 -0.35888353 -0.09762592
 -0.31664658 -0.15408221  0.3012463   0.4050816   0.49853927 -0.03854121
 -0.43115625  0.07896773 -0.1384241   0.26664376 -0.03377964 -0.2723978
 -0.64712167]"
n_1000_rep_70_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=20)","[-0.2684834  -0.37644407 -0.10816655  0.2691494   0.74575543  0.46201265
  0.00213673 -0.7561208  -0.7038568   0.11254927  0.15262511  0.16933632
  0.6502283   0.22722535  0.25159433  0.21494602 -0.3658596  -0.30898523
 -0.40534902]"
n_1000_rep_70_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.9244765]
