scenario_index,param_y,param_eta,value
n_1000_rep_50_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.23396629]
n_1000_rep_50_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[-0.22693081]
n_1000_rep_50_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[-0.247246]
n_1000_rep_50_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=20)","[-0.01705072 -0.3021222  -0.15803058  0.31138143  0.5261852   0.3182018
 -0.12033745  0.02613533  0.06746785  0.41401282 -0.24742742 -0.40786004
 -0.03838565  0.18641265  0.08760896  0.42735896 -0.27369905 -0.22441566
 -0.29961878]"
n_1000_rep_50_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=20)","[-0.16622671  0.00743744 -0.21804999 -0.45215818  0.36592934  0.6774024
  0.4613602   0.40513197  0.13395052  0.05722696  0.03162625 -0.0510258
 -0.03369516 -0.27719876 -0.04077539 -0.47951594 -0.3493233  -0.08698207
 -0.32706246]"
n_1000_rep_50_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.9401915]
