scenario_index,param_y,param_eta,value
n_1000_rep_7_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.8455962]
n_1000_rep_7_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[-0.50407743]
n_1000_rep_7_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-0.87849253]
n_1000_rep_7_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=10)","[ 0.12415594  0.07544449  0.56363225  0.79988605  0.5816692  -0.3861947
 -0.7752586  -0.5642991  -0.36658335 -0.00639613]"
n_1000_rep_7_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=10)","[-0.5020028  -0.5042168  -0.34163383 -0.11318278 -0.29316676 -0.39284375
  0.06123988  0.3819135   0.7758832   1.0365645 ]"
n_1000_rep_7_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[0.6436216]
