scenario_index,param_y,param_eta,value
n_1000_rep_2_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.54402]
n_1000_rep_2_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[-0.2059943]
n_1000_rep_2_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-0.45801598]
n_1000_rep_2_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=10)","[-0.13851157  0.02323536  0.23388118  0.52682346  0.48514283  0.10484742
  0.2004215  -0.00568622 -0.8322466  -0.8097589 ]"
n_1000_rep_2_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=10)","[ 0.10909547 -0.13206816  0.16926843  0.14244057 -0.16067263 -0.32593563
  0.0297937  -0.234814    0.264401    0.39244416]"
n_1000_rep_2_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[1.0933626]
