scenario_index,param_y,param_eta,value
n_100_rep_60_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.04004561]
n_100_rep_60_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[-0.19707875]
n_100_rep_60_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-0.05088864]
n_100_rep_60_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[-0.07730541 -0.03436124 -0.03391382 -0.08107999 -0.04539298 -0.16046122
  0.11327459  0.26376802  0.26628673 -0.14576001 -0.09951131 -0.17935094
 -0.15060487  0.00226588]"
n_100_rep_60_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.04508512 -0.00678279  0.08473533  0.06619082  0.24599694  0.20808375
  0.0934194   0.18061978  0.04887516 -0.14516105 -0.22007437 -0.12270936
  0.02182206 -0.12100703]"
n_100_rep_60_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[-0.3868557]
