scenario_index,param_y,param_eta,value
n_100_rep_56_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.01922581]
n_100_rep_56_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[-0.07247365]
n_100_rep_56_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-0.10886893]
n_100_rep_56_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[ 0.2273908   0.03110439  0.18116063  0.0332224  -0.09827807 -0.01266086
  0.04583595 -0.17753854 -0.06813104  0.05151365  0.2333176  -0.1940002
 -0.20075193  0.01828866]"
n_100_rep_56_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.07078954 -0.03556146  0.09245203 -0.00784958 -0.10085387 -0.26059747
 -0.2299496  -0.06079224 -0.00263153  0.12476039  0.2605082   0.0357504
  0.06809596 -0.04906552]"
n_100_rep_56_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[-0.27831465]
