scenario_index,param_y,param_eta,value
n_1000_rep_61_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.00430839]
n_1000_rep_61_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[0.01631176]
n_1000_rep_61_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-0.4443165]
n_1000_rep_61_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=9)","[-0.0142463  -0.24170893 -0.21870342 -0.09476893 -0.24060933  0.06493037
  0.3303178   0.2641561   0.0951718 ]"
n_1000_rep_61_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=9)","[ 3.4857917e-01  1.8022260e-01  6.5063650e-05 -3.4739071e-01
 -3.8289480e-02  1.6498290e-01 -2.8722696e-02  2.2864518e-01
  1.4237005e-01]"
n_1000_rep_61_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[2.1763518]
