scenario_index,param_y,param_eta,value
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[0.07358795]
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[0.35045302]
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[-0.26539975]
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=9)","[-0.06326357 -0.18903977 -0.23091397 -0.10396396  0.37141088  0.0954298
  0.15178041  0.1291403   0.15018578]"
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=9)","[ 0.00511089  0.49004534  0.08924972 -0.05888405  0.19169487 -0.1781802
 -0.03884391 -0.07037813 -0.28878096]"
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[1.2318038]
