scenario_index,param_y,param_eta,value
n_1000_rep_20_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.3066058]
n_1000_rep_20_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[0.3762067]
n_1000_rep_20_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-0.815211]
n_1000_rep_20_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[-0.12074861  0.67179966  1.0927695   0.9456555   0.5937575   0.40291062
 -0.13045527 -0.7501111  -0.8381436  -0.706473   -0.77154386 -0.35548243
 -0.17026877]"
n_1000_rep_20_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.7942596  -0.6025849  -0.48547536 -0.51949304 -0.41190228 -0.24376743
 -0.2839381  -0.30840477 -0.06724975 -0.22229438  0.950009    1.1164871
  0.9688402 ]"
n_1000_rep_20_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[0.4777384]
