scenario_index,param_y,param_eta,value
n_1000_rep_21_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.4983746]
n_1000_rep_21_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[0.61412156]
n_1000_rep_21_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[-0.8167408]
n_1000_rep_21_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[ 0.46934646  1.0139664   0.93235534  0.79504436  0.83487344  0.21112105
 -0.53027934 -0.81115186 -0.6619342  -0.9445404  -0.77472067 -0.5317736
 -0.00820201]"
n_1000_rep_21_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.5952807  -0.46324027 -0.6425753  -0.41760918 -0.08204574 -0.4706973
  0.09914274 -0.06091316 -0.02842563  0.157528    0.854625    0.736609
  0.9934745 ]"
n_1000_rep_21_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.54270416]
