scenario_index,param_y,param_eta,value
n_1000_rep_58_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.37242237]
n_1000_rep_58_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[0.33687285]
n_1000_rep_58_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[-0.78614473]
n_1000_rep_58_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[ 0.24608505  0.71478766  0.91431     1.0911136   0.94878215  0.40041593
 -0.1825042  -0.43450028 -1.0515574  -0.9154116  -0.51064503  0.07984532
 -0.04436788]"
n_1000_rep_58_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.7095095  -0.65696657 -0.54242957 -0.59889543  0.00212217 -0.48499826
 -0.6710214  -0.47996256  0.21583028  0.30520463  0.7822257   1.0243713
  1.4142396 ]"
n_1000_rep_58_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.5064885]
