scenario_index,param_y,param_eta,value
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.36663753]
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[0.68657297]
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-1.0313836]
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[ 0.29610395  0.47625744  0.73686004  0.87690425  0.8402358   0.7866292
 -0.12630348 -0.8883025  -0.61581665 -0.8320706  -0.8512527  -0.46350715
  0.30282095]"
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.895047   -0.5022284  -0.46635562 -0.4275754  -0.3939735  -0.36619446
 -0.23597541 -0.40122646 -0.09428623  0.44075575  1.0787325   1.0780358
  1.1508933 ]"
n_1000_rep_96_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[0.5329724]
