scenario_index,param_y,param_eta,value
n_1000_rep_49_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.37046465]
n_1000_rep_49_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[-0.5135199]
n_1000_rep_49_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[-0.5714752]
n_1000_rep_49_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[-0.4545184  -0.6360977  -0.20515954  0.34957728  0.17778634 -0.01666645
 -0.01942182  0.5209395   0.07799692  0.03459895 -0.23305227  0.3733684
  0.10676589]"
n_1000_rep_49_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[ 0.4212534   0.41668242  0.21244267 -0.03006137 -0.04515694 -0.29107937
  0.4020043  -0.07922222 -0.2999793  -0.10280947 -0.0618478  -0.34445405
 -0.08480917]"
n_1000_rep_49_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[1.2726895]
