scenario_index,param_y,param_eta,value
n_1000_rep_47_dist_gaussian_homo_SNR_1_point_estimates,loc,Intercept,[-0.01306694]
n_1000_rep_47_dist_gaussian_homo_SNR_1_point_estimates,loc,X1,[-0.2009974]
n_1000_rep_47_dist_gaussian_homo_SNR_1_point_estimates,loc,X2,[0.19811477]
n_1000_rep_47_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[-4.1619024e-01  4.3039349e-01  6.0732669e-01  3.5457391e-01
  3.0544820e-01 -1.3857347e-02  1.5661556e-01 -4.3235213e-01
 -2.3671377e-01  2.0431073e-02 -3.8138574e-01  4.1702116e-04
  1.0132476e-01]"
n_1000_rep_47_dist_gaussian_homo_SNR_1_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.08956938 -0.46556634 -0.4513859  -0.5614198  -0.15657857  0.35228038
  0.08301235 -0.06556239  0.31626508  0.56711346  0.16945717  0.2606057
 -0.22084796]"
n_1000_rep_47_dist_gaussian_homo_SNR_1_point_estimates,scale,Intercept,[2.2027242]
