scenario_index,param_y,param_eta,value
n_1000_rep_28_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.53562623]
n_1000_rep_28_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[0.34419033]
n_1000_rep_28_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[-0.70012516]
n_1000_rep_28_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[ 0.15041292  0.5428505   0.9204484   1.073869    0.86180604  0.26310587
  0.05696526 -0.5255403  -0.9645561  -0.8504191  -0.8259806  -0.5879612
 -0.3977049 ]"
n_1000_rep_28_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.31559652 -0.6316221  -0.49937508 -0.12178024 -0.2978745  -0.6220082
 -0.54278785 -0.09007328 -0.20445113  0.64228505  0.69657224  0.6877872
  0.9915312 ]"
n_1000_rep_28_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.52188176]
