scenario_index,param_y,param_eta,value
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.15435478]
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[0.11577203]
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[-0.7205925]
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=14)","[-0.0032483   0.6528376   0.8197389   0.63936365  0.50563174  0.21759446
  0.16129066 -0.4768099  -0.8587153  -0.58547354 -0.5906374  -0.42739412
 -0.6234657 ]"
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=14)","[-0.3878232  -0.24578467 -0.33582702 -0.41447178 -0.14257388  0.00283565
 -0.16053994 -0.1512057   0.27824986  0.22621284  0.7548842   0.6873784
  0.78576   ]"
n_1000_rep_62_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.2644656]
