scenario_index,param_y,param_eta,value
n_1000_rep_76_dist_gaussian_homo_SNR_8_point_estimates,loc,Intercept,[-0.5250818]
n_1000_rep_76_dist_gaussian_homo_SNR_8_point_estimates,loc,X1,[0.64043903]
n_1000_rep_76_dist_gaussian_homo_SNR_8_point_estimates,loc,X2,[-0.754241]
n_1000_rep_76_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z1, bs='bs', df=9)","[-0.12103046  0.53362507  0.9092656   0.79253465  0.30784667 -0.8278477
 -0.81100667 -0.20367908 -0.13841616]"
n_1000_rep_76_dist_gaussian_homo_SNR_8_point_estimates,loc,"spline(Z2, bs='bs', df=9)","[-0.08355188 -0.3757773  -0.13749705 -0.515573   -0.30378562  0.08569632
  0.08330509  0.8323637   0.73498803]"
n_1000_rep_76_dist_gaussian_homo_SNR_8_point_estimates,scale,Intercept,[0.66774887]
